indice_tiempo,m_animales_vivos,m_carne_despojos_comestibles,m_pescados_crustaceos_moluscos_demas_invertebrados,m_leche_productos_lacteos_huevos_ave_miel_natural,m_demas_productos_origen_animal_ncp,m_plantas_vivas_productos_floricultura,m_hortalizas_plantas_raices_tuberculos_alimenticios,m_frutas_frutos_comestibles,m_cafe_te_yerba_mate_especias,m_cereales,m_productos_molineria_malta_almidon,m_semillas_frutos_oleaginosos_semillas_frutos,m_gomas_resinas_demas_jugos_emtractos_vegetales,m_materias_trenzables_demas_productos_origen_vegetal_ncp,m_grasas_aceites_animales_vegetales_,m_preparaciones_carne_pescado_crustaceos_moluscos,m_azucares_articulos_confiteria,m_cacao_preparaciones,m_preparaciones_base_cereales_leche_productos_pasteleria,m_preparaciones_hortalizas_frutas_otros_frutos_demas,m_preparaciones_alimenticias_diversas,m_bebidas_liquidos_alcoholicos_vinagre,m_residuos_desperdicios_industrias_alimentarias,m_tabaco_sucedaneos_tabaco_elaborados,m_sal_azufre_tierras_piedras_yesos_cales_cementos,m_minerales_metaliferos_escorias_cenizas,m_combustibles_minerales_aceites_minerales_prod_destilacion,m_productos_quimicos_inorganicos_compuestos_inorganicos,m_productos_quimicos_organicos,m_productos_farmaceuticos,m_abonos,m_extractos_curtientes_tintoreos_taninos_pigmentos,m_aceites_esenciales_resinoides_preparaciones_perfumeria,m_jabon_agentes_superficie_organicos_preparaciones_lavar,m_materias_albuminoideas_productos_base_almidon,m_polvoras_emplosivos_articulos_pirotecnia_fosforos,m_productos_fotograficos_cinematograficos,m_productos_diversos_industrias_quimicas,m_plastico_manufacturas,m_caucho_manufacturas,m_pieles_emcepto_peleteria_cueros,m_manufacturas_cuero_articulos_guarnicioneria_talabarteria,m_peleteria_confecciones_peleteria,m_madera_carbon_vegetal_manufacturas_madera,m_corcho_manufacturas,m_manufacturas_esparteria_cesteria,m_pastas_madera_otras_materias_fibrosas_celulosicas,m_papel_carton_manufacturas_pasta_celulosa_papel_carton,m_productos_editoriales_prensa_demas_industrias_graficas,m_seda,m_lana_pelo_fino_ordinario_hilados_tejidos_crin,m_algodon,m_demas_fibras_temtiles_vegetales_hilados_papel,m_filamentos_sinteticos_artificiales,m_fibras_sinteticas_artificiales_discontinuas,m_guata_fieltro_telas_sin_tejer_hilados_especiales,m_alfombras_demas_revestimientos_suelo_materia_temtil,m_tejidos_especiales_superficies_textiles,m_telas_impregnadas_recubiertas_revestidas,m_tejido_punto,m_prendas_complementos_accesorios_vestir_punto,m_prendas_complementos_accesorios_vestir_emcepto_punto,m_demas_articulos_textiles_confeccionados,m_calzado_polainas_articulos_analogos_partes,m_sombreros_demas_tocados_sus_partes,m_paraguas_sombrillas_quitasoles_bastones_bastones,m_plumas_plumon_preparados_flores_artificiales,m_manufacturas_piedra_fraguable_cemento,m_productos_ceramicos,m_vidrio_manufacturas,m_perlas_piedras_preciosas_semipreciosas_metales_preciosos,m_fundicion_hierro_acero,m_manufacturas_fundicion_hierro_acero,m_cobre_manufacturas_cobre,m_niquel_manufacturas,m_aluminio_manufacturas,m_plomo_manufacturas,m_cinc_manufacturas,m_estano_manufacturas,m_demas_metales_comunes_manufacturas,m_herramientas_utiles_articulos_cuchilleria,m_manufacturas_diversas_metal_comun,m_reactores_nucleares_calderas_maquinas,m_maquinas_aparatos_material_electrico_partes,m_vehiculos_material_para_vias_ferreas_similares_partes,m_vehiculos_automoviles_tractores_demas_vehiculos,m_aeronaves_vehiculos_espaciales_partes,m_barcos_demas_artefactos_flotantes,m_instrumentos_aparatos_optica_fotografia_cinematografias,m_aparatos_relojeria_partes,m_instrumentos_musicales_partes_accesorios,m_armas_municiones_partes_accesorios,m_muebles_mobiliario_medicoquirurgico_articulos_cama,m_juguetes_juegos_articulos_recreo_deporte_partes,m_manufacturas_diversas,m_objetos_arte_coleccion_antiguedades,m_resto,m_total
1990-11-01,0.129005,1.132944,0.565405,0.311016,0.143115,0.010363,0.526253,5.651872,3.747444,0.623459,0.088147,1.433206,0.383648,0.041039,0.660332,0.585863,0.252945,2.477197,0.251578,1.011488,0.941399,2.012272,0.291648,0.133009,2.923101,15.922799,42.036065,11.683995,47.426835,2.445211,2.076791,9.959788,0.701715,4.131947,0.777186,0.339645,3.92837,25.861311,27.430507,10.412275,0.0,0.114485,0.149861,3.397559,1.281528,0.072276,1.636825,8.277923,0.899038,0.001643,2.431862,0.014275,0.076765,0.148221,0.617081,5.19749,0.769912,0.49833,0.732311,0.725445,0.550946,0.224639,0.0,0.837827,0.009257,0.50143,0.013398,1.500803,1.572368,1.634837,0.097972,0.0,18.890653,4.980295,0.742512,1.251346,0.506249,0.394635,0.474092,0.229982,1.919208,0.863953,62.388789,29.99855,0.105079,16.86509,0.120389,0.373185,9.624697,1.110885,13.103038,0.230778,0.569176,8e-06,0.142044,4.9131,3.928821,439.175049
1990-12-01,0.694644,1.355553,0.888254,0.659986,0.190017,0.056365,0.337536,10.373193,1.861573,0.401083,0.078096,1.933318,0.636364,0.071513,0.659009,0.11041,0.230226,0.679699,0.067668,1.24667,1.154326,2.273679,0.597695,1.257812,5.849494,21.718672,40.767867,31.689192,60.129939,3.428522,1.58544,6.643345,1.391877,3.297528,0.899625,0.14369,4.238746,24.260515,22.01514,10.618176,0.026084,0.46686,0.039506,2.791674,0.719769,0.015079,1.225359,8.755384,0.716195,0.011377,1.433073,1.4e-05,0.130402,0.010212,3.49572,2.367478,0.364844,0.133023,0.852712,0.589791,0.676777,0.171432,0.0,1.628354,0.012738,0.419556,0.029994,1.128136,2.1122,1.519438,0.597286,0.0,22.268154,3.849157,0.31833,0.770854,0.048498,0.842641,0.175844,0.13791,2.973114,0.812927,59.742555,40.942181,0.695927,22.828874,4.447463,4.005189,9.745075,1.613815,15.084849,0.350252,0.372295,0.030952,0.041169,4.558946,4.040855,499.63075
1991-01-01,0.307532,0.664822,0.651716,0.33127,0.286154,0.034915,0.183462,5.466951,1.950256,1.23941,0.170348,1.650651,0.83599,0.028224,0.54074,0.294804,0.124651,3.538137,0.033335,0.589645,1.073664,2.086981,0.35552,0.548153,3.284103,9.62991,59.53415,9.098569,56.260659,7.254865,1.157361,7.953677,1.143019,2.561095,0.947893,0.085163,3.919901,17.516408,28.789928,12.242189,0.085076,0.460086,0.187642,3.382393,0.827084,0.011535,1.40034,13.954267,1.686856,0.001434,3.495325,0.014043,0.295912,0.177486,2.278598,3.79475,0.183106,0.865846,0.744903,0.574234,0.434526,0.6135,0.000813,0.560567,0.086194,0.209967,0.006768,1.861946,3.279853,1.693638,0.085674,0.0,22.109453,3.965234,0.371709,0.820636,0.025229,0.157536,0.659291,0.582773,2.939098,0.906634,82.732456,39.848624,0.051745,18.048545,0.220256,6.413176,12.10327,0.870261,5.229474,0.311389,0.410074,0.067557,0.128318,1.681416,4.333434,492.608171
1991-02-01,0.460746,0.272467,1.114823,0.444752,0.110127,0.094614,0.075373,3.030821,1.719013,0.05818,0.148703,3.871919,0.908611,0.054243,0.68153,1.019727,0.201766,2.661231,0.190373,0.733442,0.927039,1.474687,0.451278,0.698322,2.587253,8.000819,29.618077,5.877623,50.357195,5.436982,0.634767,7.31369,1.546275,2.696886,1.482226,0.142541,3.225106,21.742434,20.919104,6.479239,0.04394,0.381458,0.295369,2.069867,0.258669,0.029352,1.484709,10.991433,0.904814,0.020254,2.930402,0.006295,0.397123,0.048257,1.481302,5.04665,0.197581,0.987977,0.928978,0.889987,0.448176,0.216389,0.001224,1.402112,0.019729,0.480412,0.007603,1.818125,2.421722,1.591912,0.088994,0.0,25.041101,4.206195,0.341318,0.86633,0.024931,0.542815,0.338234,0.783959,2.724444,0.588655,71.306953,29.03746,0.00818,16.702578,0.090169,0.414949,9.900356,1.247825,3.631401,0.310347,0.420442,0.013966,0.167659,1.569098,2.637079,400.271263
1991-03-01,0.269272,0.187757,0.850851,0.499096,0.099159,0.07567,0.049464,2.979269,5.268421,0.004769,0.044654,1.23504,0.779839,0.01506,0.539831,0.694177,0.129566,2.991977,0.038742,0.29333,0.493086,0.625117,0.343359,0.689555,1.758969,3.941345,42.097542,6.297945,35.77322,7.114235,3.148259,5.433855,0.940686,1.519304,1.465346,0.074779,1.440839,7.862605,16.185205,5.337559,0.158095,0.307624,0.000213,1.842848,0.234735,0.074056,0.953469,10.076323,0.762155,0.017947,1.811692,0.002047,0.230163,0.004604,1.711402,4.685606,0.115855,0.523699,1.063168,1.196543,0.966633,0.155546,2.3e-05,0.969527,0.023987,0.437742,0.002917,1.306751,1.352841,1.494703,0.050276,0.0,21.104855,3.94414,0.284211,0.885366,0.040554,0.14475,0.094572,0.577979,3.400339,0.674345,85.281024,49.176984,0.027998,17.61153,0.008901,7.911875,12.870114,1.03036,4.4966,0.681334,0.368195,0.046975,0.134304,2.457886,2.31333,407.690465
1991-04-01,0.738046,0.823252,0.66237,1.406242,0.497129,0.066563,0.45989,3.7839,4.043206,0.114759,0.186918,2.532893,1.41533,0.215131,1.015693,0.062423,0.185044,4.273068,0.435545,0.458533,0.75538,1.230456,1.138558,2.893626,3.705102,6.705491,24.769494,35.367534,61.723683,6.563566,0.162839,9.885752,1.521265,3.414162,1.6578,0.063597,4.766409,18.825132,32.744891,12.564398,0.08228,0.350247,0.419605,2.762128,0.666341,0.094269,1.564283,19.916706,1.906801,0.020052,5.971935,0.007157,0.684248,0.036968,3.006874,8.859899,0.063275,1.745311,1.295344,2.524093,3.769735,0.264767,0.00461,3.42055,0.057829,0.26959,0.135309,1.87513,2.564492,2.595619,0.145461,0.0,25.179347,4.142866,1.06636,1.374162,0.163576,0.632464,0.626482,1.401876,3.992096,1.035414,119.849806,57.435616,0.090693,33.746322,0.022397,1.417412,22.562966,2.316093,7.267775,0.481409,0.438453,0.076669,0.259304,3.500808,4.441122,614.437466
1991-05-01,1.130881,0.84036,1.455158,2.740855,0.097615,0.236669,0.740496,3.552712,6.085936,0.331742,0.144099,1.399331,1.482142,0.086384,0.538776,0.179371,0.299262,5.015264,0.047094,0.825293,0.899719,0.958334,0.487577,0.07058,2.795226,8.511382,35.227329,9.766781,46.757496,5.847007,3.624341,6.696867,1.643924,2.232677,1.080104,0.123438,3.31871,10.640049,25.609755,11.135901,0.025083,0.320926,0.200021,3.131016,0.276212,0.083205,1.598607,11.704813,3.535809,0.0727,4.963694,0.022619,0.429235,0.132338,2.574522,6.858675,0.158374,1.297171,1.122826,2.915499,4.189701,0.416256,0.047051,4.369129,0.04536,0.623381,0.103333,1.075366,1.431596,2.380444,0.381971,0.0,24.186351,3.973623,0.404929,1.387238,0.010802,0.332128,0.25814,0.665412,4.226448,1.03207,94.736325,57.226756,0.060418,28.811486,0.043127,1.416595,19.569353,3.442747,8.662125,0.681159,0.455502,0.081219,0.21951,4.840941,4.208659,522.076633
1991-06-01,2.185864,1.002995,1.778765,5.576333,0.448451,0.204063,0.471541,4.097456,7.566246,2.915067,0.118238,1.591519,1.44982,0.068782,0.89742,0.443539,0.21678,4.567257,0.194583,0.454048,1.135012,1.254275,0.324341,0.579693,3.15938,3.307712,32.274823,16.744671,52.979503,7.531281,2.82936,6.778482,1.52613,2.776866,1.203781,0.071611,4.268881,18.960297,26.299994,12.075348,0.020368,0.890166,0.500258,2.511528,0.446686,0.041553,3.503776,14.355481,5.159237,0.121281,5.879148,0.038731,0.75597,0.242149,4.925932,6.742785,0.366385,3.248274,1.640791,4.173484,5.161872,1.507216,0.085738,4.241341,0.104204,0.499686,0.130003,1.253969,1.869074,1.943411,0.783578,0.0,17.339237,5.647577,0.599974,1.136082,0.077439,0.255698,0.297474,2.157313,4.180272,1.282312,109.906061,70.808575,0.0,25.103808,0.619874,6.214906,22.398903,6.710918,11.631953,0.729931,0.482299,0.205163,0.317826,8.643454,4.234234,606.455566
1991-07-01,0.49732,2.254232,0.836223,16.325987,0.368671,0.268341,0.283499,4.335259,6.069354,2.951771,0.170782,1.470367,1.80611,0.039326,0.881683,0.090415,0.344094,7.352314,0.25872,0.757104,1.544594,1.174212,0.763626,0.753565,2.898296,20.294215,61.597844,29.192769,69.863698,7.015614,5.873014,9.72646,1.926169,3.813629,1.433881,0.089077,4.101478,15.976669,32.028982,19.067551,0.09361,0.748272,0.405168,3.40639,0.806658,0.111387,2.822717,17.375585,2.920315,0.176302,8.625717,0.006858,0.801681,0.48716,5.469589,10.570212,0.085825,2.770406,1.264544,3.513357,4.949468,1.359175,0.128092,4.708112,0.107533,0.848715,0.110744,1.108665,2.384141,3.245824,0.568749,0.0,25.698818,6.78117,0.645808,2.129734,0.036612,0.288859,0.321091,0.644983,5.354143,1.919073,98.61462,67.82156,0.042943,50.815268,5.74856,1.837183,22.640691,3.857882,15.846185,1.023651,1.175088,0.20252,0.390469,11.437781,4.603157,748.355735
1991-08-01,1.014196,4.023837,1.30852,15.349206,0.305226,0.323938,0.436462,5.729411,3.450633,0.588193,0.233297,1.005211,1.7124,0.09549,1.743458,0.435692,0.713583,4.915743,0.229524,1.380185,1.713591,4.148951,0.775837,0.816271,4.146383,3.94521,38.37778,14.63772,70.031629,13.430678,8.205334,9.910325,2.018311,4.204834,2.607598,0.937364,5.618492,22.793815,34.673806,17.611673,0.023475,0.762558,0.172736,3.671135,1.392182,0.089899,3.827324,19.665846,3.748906,0.101235,10.19685,0.030166,0.607251,0.308693,6.167746,8.554529,0.256002,1.641295,2.603487,4.530536,4.9515,1.591407,0.161574,4.459348,0.125545,0.386843,0.159118,2.451089,3.983358,3.682277,0.675491,0.0,31.741807,7.684192,1.019022,2.354099,0.066443,0.143983,0.486647,0.498493,5.727836,2.121919,115.990131,79.909612,0.017895,53.819172,0.081645,2.624217,26.38125,5.120663,12.870091,0.866137,1.16587,0.123173,0.231444,6.331819,5.694258,759.651026
